ID,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Year
bibbymi01,Raja Bell,SG,34,UTA,68,63,30.8,2.8,6.9,.409,1.0,2.8,.352,1.8,4.0,.449,.482,1.3,1.5,.892,0.5,2.1,2.6,1.7,0.8,0.2,0.9,2.5,8.0,2011
bibbymi01,Mike Bibby,PG,32,TOT,80,68,28.6,3.1,7.2,.431,1.9,4.4,.440,1.2,2.9,.417,.563,0.5,0.8,.629,0.2,2.2,2.4,3.3,0.6,0.1,1.3,2.2,8.6,2011
bibbymi01,Mike Bibby,PG,32,ATL,56,56,29.9,3.4,7.9,.435,2.0,4.6,.441,1.4,3.3,.427,.563,0.5,0.8,.630,0.3,2.3,2.6,3.6,0.7,0.1,1.2,2.2,9.4,2011
biedran01,Mike Bibby,PG,32,WAS,2,0,14.5,0.5,4.5,.111,0.0,2.0,.000,0.5,2.5,.200,.111,0.0,0.0,,0.0,1.5,1.5,4.0,0.5,0.0,0.5,1.5,1.0,2011
billuch01,Mike Bibby,PG,32,MIA,22,12,26.5,2.5,5.7,.437,1.8,4.0,.455,0.7,1.7,.395,.595,0.5,0.7,.625,0.1,2.1,2.2,2.5,0.5,0.1,1.5,2.1,7.3,2011
billuch01,Andris Biedrins,C,24,GSW,59,55,23.7,2.4,4.5,.534,0.0,0.0,,2.4,4.5,.534,.534,0.2,0.5,.323,2.5,4.8,7.2,1.0,0.9,0.9,1.0,3.4,5.0,2011
billuch01,Chauncey Billups,PG,34,TOT,72,72,32.1,4.7,11.0,.427,2.0,5.0,.402,2.7,6.0,.448,.519,5.3,5.8,.916,0.3,2.3,2.6,5.4,1.0,0.2,2.5,2.0,16.8,2011
blairde01,Chauncey Billups,PG,34,DEN,51,51,32.3,4.6,10.5,.438,2.1,4.7,.441,2.5,5.8,.436,.536,5.2,5.6,.923,0.2,2.2,2.5,5.3,1.0,0.2,2.5,1.8,16.5,2011
blakest01,Chauncey Billups,PG,34,NYK,21,21,31.6,5.0,12.3,.403,2.0,6.0,.328,3.0,6.3,.474,.483,5.7,6.3,.902,0.6,2.5,3.1,5.5,0.9,0.1,2.3,2.5,17.5,2011
blatcan01,DeJuan Blair,PF,21,SAS,81,65,21.4,3.6,7.2,.501,0.0,0.0,.000,3.6,7.2,.503,.501,1.1,1.7,.657,2.7,4.3,7.0,1.0,1.2,0.5,1.4,2.6,8.3,2011
