ID,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
brownkw01,Derrick Brown,SF,23,TOT,49,576,12.9,.588,.076,.458,8.5,12.2,10.3,9.5,1.8,1.4,18.2,15.5,0.5,0.5,1.0,.083,-1.4,0.1,-1.3,0.1,2011
brownsh01,Derrick Brown,SF,23,CHA,41,488,12.4,.565,.053,.416,7.9,13.0,10.4,9.9,1.8,1.3,17.3,15.6,0.3,0.4,0.8,.074,-1.9,0.2,-1.7,0.0,2011
bryanko01,Derrick Brown,SF,23,NYK,8,88,16.0,.717,.222,.722,11.6,7.9,9.7,6.9,2.3,1.7,22.8,15.5,0.2,0.1,0.2,.130,1.5,-0.7,0.8,0.1,2011
budinch01,Kwame Brown,C,28,CHA,66,1714,12.8,.550,.000,.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6,14.9,1.8,1.7,3.5,.097,-2.2,-0.1,-2.3,-0.1,2011
butleca01,Shannon Brown,SG,25,LAL,82,1568,13.6,.518,.330,.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,1.1,1.9,3.1,.093,-0.6,-1.1,-1.7,0.1,2011
butlera01,Kobe Bryant,SG,32,LAL,82,2779,23.9,.548,.217,.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,6.8,3.5,10.3,.178,4.7,-0.9,3.8,4.1,2011
butlera01,Chase Budinger,SF,22,HOU,78,1738,14.2,.534,.418,.210,3.4,15.0,9.2,11.5,1.2,0.7,8.5,19.9,2.2,1.2,3.4,.095,0.6,-1.3,-0.7,0.6,2011
butlera01,Caron Butler,SF,30,DAL,29,867,14.2,.523,.172,.233,3.1,12.5,8.0,9.1,1.7,0.7,10.5,25.1,0.2,1.0,1.2,.067,-1.4,0.0,-1.4,0.1,2011
bynuman01,Rasual Butler,SG,31,TOT,47,770,6.2,.446,.574,.114,1.5,10.1,5.9,5.3,0.5,1.5,8.8,15.8,-0.5,0.3,-0.1,-0.009,-3.4,-1.9,-5.3,-0.6,2011
bynumwi01,Rasual Butler,SG,31,LAC,41,744,5.9,.433,.571,.119,1.6,10.3,6.0,5.5,0.6,1.6,8.5,15.6,-0.5,0.3,-0.2,-0.013,-3.6,-1.7,-5.3,-0.6,2011
caldejo01,Rasual Butler,SG,31,CHI,6,26,14.5,.727,.636,.000,0.0,4.4,2.3,0.0,0.0,0.0,15.4,23.0,0.0,0.0,0.1,.107,1.2,-6.1,-4.9,0.0,2011
cambyma01,Andrew Bynum,C,23,LAL,54,1500,21.1,.606,.000,.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8,17.6,3.8,2.8,6.6,.210,0.5,2.8,3.3,2.0,2011
caracde01,Will Bynum,PG,28,DET,61,1125,15.2,.524,.123,.300,1.6,6.7,4.0,28.6,2.5,0.3,15.3,22.5,1.1,0.4,1.5,.066,-0.2,-2.9,-3.1,-0.3,2011
cardibr01,Jose Calderon,PG,29,TOR,68,2102,16.3,.522,.262,.173,1.7,9.9,5.7,43.0,2.0,0.3,18.8,16.8,3.2,0.4,3.7,.084,1.4,-2.7,-1.3,0.4,2011
carnero01,Marcus Camby,C,36,POR,59,1540,14.8,.426,.003,.238,13.8,35.2,24.1,11.7,1.4,5.0,16.0,11.7,0.8,3.0,3.7,.116,-2.9,5.2,2.3,1.7,2011
carnero01,Derrick Caracter,C,22,LAL,41,215,10.0,.532,.000,.348,10.3,12.2,11.3,5.1,1.0,3.5,20.0,20.2,0.0,0.3,0.3,.057,-4.5,-0.3,-4.9,-0.2,2011
carnero01,Brian Cardinal,SF,33,DAL,56,618,9.7,.672,.870,.180,2.0,8.9,5.6,9.1,2.0,0.9,13.6,9.5,1.0,0.7,1.7,.132,1.1,1.3,2.4,0.7,2011
carrode01,Rodney Carney,SF,26,TOT,27,336,10.8,.521,.345,.245,4.3,12.1,8.1,4.8,1.8,1.1,11.6,18.1,0.1,0.2,0.3,.038,-2.5,-2.3,-4.9,-0.2,2011
carrode01,Rodney Carney,SF,26,GSW,25,331,10.7,.526,.346,.252,4.0,12.3,8.0,4.9,1.7,1.2,11.9,18.0,0.1,0.2,0.3,.038,-2.6,-2.4,-4.9,-0.2,2011
carrode01,Rodney Carney,SF,26,MEM,2,5,20.4,.333,.333,.000,23.7,0.0,12.0,0.0,10.4,0.0,0.0,27.1,0.0,0.0,0.0,.071,0.4,-1.2,-0.8,0.0,2011
carroma01,DeMarre Carroll,PF,24,TOT,12,50,8.7,.388,.000,.167,4.7,14.5,9.6,10.7,1.0,1.6,0.0,11.6,0.0,0.0,0.1,.066,-4.5,-1.3,-5.8,0.0,2011
cartean01,DeMarre Carroll,PF,24,MEM,7,39,12.4,.506,.000,.222,6.1,18.6,12.3,7.3,1.3,2.1,0.0,11.4,0.1,0.0,0.1,.145,-2.0,0.5,-1.5,0.0,2011
cartean01,DeMarre Carroll,PF,24,HOU,5,11,-4.5,.000,.000,.000,0.0,0.0,0.0,22.8,0.0,0.0,0.0,12.0,0.0,0.0,0.0,-0.214,-13.3,-7.8,-21.1,-0.1,2011
cartean01,Matt Carroll,SG,30,CHA,54,582,12.2,.530,.231,.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,0.3,0.5,0.8,.062,-2.3,-2.0,-4.3,-0.3,2011
cartevi01,Anthony Carter,PG,35,TOT,33,463,9.2,.502,.377,.075,1.7,10.9,6.3,21.3,2.9,1.0,26.3,14.3,-0.2,0.4,0.2,.023,-2.8,0.1,-2.8,-0.1,2011
cartevi01,Anthony Carter,PG,35,DEN,14,153,5.4,.421,.400,.067,0.0,8.8,4.5,23.2,3.0,0.5,31.2,13.1,-0.2,0.2,-0.1,-0.018,-4.8,0.1,-4.7,-0.1,2011
casspom01,Anthony Carter,PG,35,NYK,19,310,11.1,.534,.368,.079,2.6,11.9,7.2,20.4,2.9,1.2,24.1,14.8,0.0,0.3,0.3,.044,-1.9,0.1,-1.8,0.0,2011
chalmma01,Vince Carter,SG,34,TOT,73,2051,14.8,.528,.360,.194,3.1,12.4,7.8,12.1,1.7,0.7,8.5,23.5,2.0,1.9,3.8,.089,1.0,-0.7,0.3,1.2,2011
chandty01,Vince Carter,SG,34,ORL,22,664,16.2,.557,.293,.282,2.0,13.5,7.9,17.3,1.6,0.4,10.7,23.4,1.1,1.0,2.1,.151,1.4,0.6,1.9,0.7,2011
chandwi01,Vince Carter,SG,34,PHO,51,1387,14.2,.516,.389,.157,3.6,11.8,7.7,9.6,1.7,0.9,7.5,23.5,0.9,0.8,1.7,.060,0.8,-1.2,-0.4,0.5,2011
chandwi01,Omri Casspi,SF,22,SAC,71,1702,11.7,.517,.452,.185,4.8,16.0,10.3,6.6,1.6,0.6,10.3,16.7,1.1,1.3,2.5,.069,-0.6,-0.7,-1.3,0.3,2011
