Phoenix Suns,87,Dallas Mavericks,93,2012
Memphis Grizzlies,91,Golden State Warriors,90,2012
Atlanta Hawks,97,Milwaukee Bucks,92,2012
Houston Rockets,107,Minnesota Timberwolves,92,2012
San Antonio Spurs,104,New Orleans Hornets,102,2012
Detroit Pistons,79,Oklahoma City Thunder,99,2012
Washington Wizards,83,Philadelphia 76ers,103,2012
Sacramento Kings,89,Portland Trail Blazers,101,2012
New York Knicks,111,Charlotte Bobcats,78,2012
Orlando Magic,102,Indiana Pacers,83,2012
Cleveland Cavaliers,85,Miami Heat,92,2012
Toronto Raptors,99,Phoenix Suns,96,2012
Memphis Grizzlies,84,Portland Trail Blazers,97,2012
Indiana Pacers,95,Chicago Bulls,90,2012
New York Knicks,81,Cleveland Cavaliers,91,2012
Minnesota Timberwolves,105,Dallas Mavericks,90,2012
Miami Heat,101,Detroit Pistons,98,2012
Portland Trail Blazers,93,Golden State Warriors,101,2012
Milwaukee Bucks,105,Houston Rockets,99,2012
Los Angeles Clippers,91,Los Angeles Lakers,96,2012
New Orleans Hornets,91,Oklahoma City Thunder,101,2012
New Jersey Nets,97,Philadelphia 76ers,90,2012
Denver Nuggets,122,Sacramento Kings,93,2012
Atlanta Hawks,83,San Antonio Spurs,105,2012
Toronto Raptors,111,Utah Jazz,106,2012
Charlotte Bobcats,75,Washington Wizards,92,2012
Memphis Grizzlies,91,Los Angeles Clippers,98,2012
Boston Celtics,91,Orlando Magic,83,2012
Indiana Pacers,87,Boston Celtics,94,2012
Milwaukee Bucks,100,Chicago Bulls,107,2012
New Jersey Nets,99,Cleveland Cavaliers,96,2012
Utah Jazz,101,Dallas Mavericks,116,2012
Toronto Raptors,81,Denver Nuggets,96,2012
Atlanta Hawks,107,Detroit Pistons,101,2012
Oklahoma City Thunder,120,Golden State Warriors,109,2012
Washington Wizards,76,Houston Rockets,103,2012
New York Knicks,89,Miami Heat,99,2012
San Antonio Spurs,79,Minnesota Timberwolves,87,2012
Orlando Magic,67,New Orleans Hornets,93,2012
Charlotte Bobcats,72,Philadelphia 76ers,89,2012
Phoenix Suns,71,Portland Trail Blazers,109,2012
Washington Wizards,102,Charlotte Bobcats,99,2012
New York Knicks,84,Houston Rockets,97,2012
Los Angeles Lakers,89,Milwaukee Bucks,100,2012
Detroit Pistons,74,Philadelphia 76ers,95,2012
Memphis Grizzlies,84,Phoenix Suns,86,2012
Sacramento Kings,93,Utah Jazz,96,2012
Cleveland Cavaliers,88,Boston Celtics,87,2012
San Antonio Spurs,100,Dallas Mavericks,101,2012
Los Angeles Clippers,109,Denver Nuggets,105,2012
Chicago Bulls,93,Miami Heat,97,2012
Los Angeles Lakers,106,Minnesota Timberwolves,101,2012
Toronto Raptors,94,New Jersey Nets,73,2012
Atlanta Hawks,94,New Orleans Hornets,72,2012
Indiana Pacers,106,Orlando Magic,85,2012
Minnesota Timberwolves,120,Houston Rockets,108,2012
Oklahoma City Thunder,100,Los Angeles Clippers,112,2012
San Antonio Spurs,83,Memphis Grizzlies,73,2012
New Orleans Hornets,95,Miami Heat,109,2012
Detroit Pistons,82,Milwaukee Bucks,103,2012
Orlando Magic,69,Philadelphia 76ers,74,2012
Dallas Mavericks,122,Phoenix Suns,99,2012
Portland Trail Blazers,89,Utah Jazz,93,2012
Chicago Bulls,98,Washington Wizards,88,2012
Boston Celtics,93,Cleveland Cavaliers,90,2012
Sacramento Kings,90,Golden State Warriors,93,2012
New Jersey Nets,99,Indiana Pacers,106,2012
Charlotte Bobcats,73,Los Angeles Lakers,106,2012
Denver Nuggets,97,Memphis Grizzlies,100,2012
Detroit Pistons,86,New York Knicks,113,2012
Atlanta Hawks,100,Toronto Raptors,77,2012
Toronto Raptors,64,Boston Celtics,100,2012
Oklahoma City Thunder,95,Dallas Mavericks,86,2012
Miami Heat,97,Milwaukee Bucks,105,2012
Indiana Pacers,109,Minnesota Timberwolves,99,2012
Detroit Pistons,96,New Jersey Nets,99,2012
Phoenix Suns,120,New Orleans Hornets,103,2012
Washington Wizards,103,Orlando Magic,109,2012
Chicago Bulls,82,Philadelphia 76ers,98,2012
Charlotte Bobcats,68,Portland Trail Blazers,112,2012
Houston Rockets,91,San Antonio Spurs,99,2012
Los Angeles Clippers,107,Utah Jazz,105,2012
Memphis Grizzlies,96,Atlanta Hawks,77,2012
Utah Jazz,101,Golden State Warriors,119,2012
Denver Nuggets,112,Los Angeles Clippers,91,2012
Chicago Bulls,105,New York Knicks,102,2012
Portland Trail Blazers,92,Sacramento Kings,95,2012
New Orleans Hornets,81,San Antonio Spurs,93,2012
New York Knicks,89,Boston Celtics,91,2012
Indiana Pacers,98,Dallas Mavericks,87,2012
Los Angeles Lakers,93,Denver Nuggets,89,2012
Milwaukee Bucks,80,Detroit Pistons,88,2012
Phoenix Suns,81,Houston Rockets,99,2012
Minnesota Timberwolves,108,New Jersey Nets,105,2012
Memphis Grizzlies,94,Oklahoma City Thunder,101,2012
Cleveland Cavaliers,94,Orlando Magic,102,2012
Miami Heat,99,Philadelphia 76ers,79,2012
Washington Wizards,89,Toronto Raptors,106,2012
Philadelphia 76ers,98,Atlanta Hawks,87,2012
Dallas Mavericks,88,Cleveland Cavaliers,91,2012
New Orleans Hornets,87,Detroit Pistons,89,2012
Orlando Magic,85,Indiana Pacers,81,2012
Chicago Bulls,113,Milwaukee Bucks,90,2012
Houston Rockets,91,Minnesota Timberwolves,100,2012
New Jersey Nets,92,New York Knicks,99,2012
Charlotte Bobcats,89,Phoenix Suns,95,2012
Denver Nuggets,97,Portland Trail Blazers,117,2012
Golden State Warriors,106,Sacramento Kings,114,2012
Oklahoma City Thunder,96,San Antonio Spurs,107,2012
Los Angeles Lakers,87,Utah Jazz,96,2012
Los Angeles Clippers,107,Washington Wizards,81,2012
Memphis Grizzlies,80,Boston Celtics,98,2012
Toronto Raptors,89,Miami Heat,95,2012
Phoenix Suns,99,Atlanta Hawks,90,2012
Houston Rockets,99,Denver Nuggets,90,2012
San Antonio Spurs,89,Memphis Grizzlies,84,2012
Chicago Bulls,108,New Jersey Nets,87,2012
Sacramento Kings,100,New Orleans Hornets,92,2012
Utah Jazz,88,New York Knicks,99,2012
Los Angeles Clippers,107,Orlando Magic,102,2012
Los Angeles Lakers,90,Philadelphia 76ers,95,2012
Oklahoma City Thunder,111,Portland Trail Blazers,107,2012
Toronto Raptors,108,Washington Wizards,111,2012
Charlotte Bobcats,84,Boston Celtics,94,2012
Oklahoma City Thunder,119,Golden State Warriors,116,2012
Utah Jazz,99,Indiana Pacers,104,2012
Cleveland Cavaliers,91,Miami Heat,107,2012
Phoenix Suns,107,Milwaukee Bucks,105,2012
Sacramento Kings,84,Minnesota Timberwolves,86,2012
Indiana Pacers,87,Atlanta Hawks,97,2012
Los Angeles Clippers,92,Cleveland Cavaliers,99,2012
Dallas Mavericks,105,Denver Nuggets,95,2012
Minnesota Timberwolves,80,Memphis Grizzlies,85,2012
Detroit Pistons,99,New Jersey Nets,92,2012
Chicago Bulls,90,New Orleans Hornets,67,2012
Miami Heat,89,Orlando Magic,102,2012
San Antonio Spurs,100,Philadelphia 76ers,90,2012
Houston Rockets,103,Portland Trail Blazers,96,2012
Milwaukee Bucks,105,Toronto Raptors,99,2012
