Phoenix Suns,105,Charlotte Bobcats,123,2011
New Jersey Nets,103,Denver Nuggets,107,2011
Orlando Magic,90,Indiana Pacers,86,2011
New York Knicks,124,Los Angeles Clippers,115,2011
Miami Heat,95,Memphis Grizzlies,97,2011
Oklahoma City Thunder,82,Milwaukee Bucks,81,2011
Utah Jazz,103,Portland Trail Blazers,94,2011
Cleveland Cavaliers,92,San Antonio Spurs,116,2011
Washington Wizards,110,Detroit Pistons,115,2011
Golden State Warriors,89,Los Angeles Lakers,117,2011
New Orleans Hornets,75,Sacramento Kings,71,2011
Boston Celtics,101,Toronto Raptors,102,2011
Boston Celtics,99,Atlanta Hawks,76,2011
Denver Nuggets,106,Golden State Warriors,89,2011
Phoenix Suns,123,Houston Rockets,116,2011
New Orleans Hornets,95,Los Angeles Clippers,99,2011
Indiana Pacers,93,Miami Heat,77,2011
Minnesota Timberwolves,107,Oklahoma City Thunder,117,2011
Orlando Magic,97,San Antonio Spurs,106,2011
Sacramento Kings,83,Utah Jazz,94,2011
Detroit Pistons,84,Dallas Mavericks,88,2011
Cleveland Cavaliers,89,Indiana Pacers,100,2011
Chicago Bulls,91,Los Angeles Lakers,98,2011
Atlanta Hawks,101,New Jersey Nets,107,2011
Charlotte Bobcats,107,New York Knicks,110,2011
Philadelphia 76ers,114,Washington Wizards,116,2011
New Jersey Nets,83,Boston Celtics,89,2011
New York Knicks,99,Charlotte Bobcats,95,2011
Milwaukee Bucks,81,Cleveland Cavaliers,83,2011
Golden State Warriors,101,Houston Rockets,111,2011
Detroit Pistons,84,Memphis Grizzlies,105,2011
San Antonio Spurs,113,Minnesota Timberwolves,109,2011
Dallas Mavericks,111,Oklahoma City Thunder,103,2011
Miami Heat,95,Orlando Magic,104,2011
Chicago Bulls,123,Phoenix Suns,115,2011
Philadelphia 76ers,90,Toronto Raptors,106,2011
New Orleans Hornets,87,Utah Jazz,105,2011
Washington Wizards,96,Atlanta Hawks,116,2011
Sacramento Kings,82,Los Angeles Clippers,100,2011
Toronto Raptors,101,Boston Celtics,110,2011
Houston Rockets,89,Charlotte Bobcats,99,2011
Chicago Bulls,97,Denver Nuggets,98,2011
Milwaukee Bucks,89,Detroit Pistons,103,2011
Oklahoma City Thunder,110,Indiana Pacers,106,2011
Golden State Warriors,111,Memphis Grizzlies,116,2011
Philadelphia 76ers,90,Miami Heat,99,2011
Cleveland Cavaliers,100,Orlando Magic,111,2011
Los Angeles Clippers,108,Phoenix Suns,116,2011
New Orleans Hornets,97,Portland Trail Blazers,78,2011
Dallas Mavericks,103,San Antonio Spurs,94,2011
Los Angeles Lakers,96,Utah Jazz,102,2011
Memphis Grizzlies,86,Cleveland Cavaliers,92,2011
Miami Heat,95,Dallas Mavericks,106,2011
Charlotte Bobcats,101,Milwaukee Bucks,104,2011
Golden State Warriors,104,Minnesota Timberwolves,94,2011
Atlanta Hawks,99,New York Knicks,90,2011
New Jersey Nets,86,Philadelphia 76ers,102,2011
Chicago Bulls,96,Sacramento Kings,85,2011
Orlando Magic,100,Washington Wizards,99,2011
Phoenix Suns,133,Denver Nuggets,138,2011
New York Knicks,125,Detroit Pistons,116,2011
Oklahoma City Thunder,98,Houston Rockets,99,2011
Utah Jazz,109,Los Angeles Clippers,97,2011
Indiana Pacers,95,Los Angeles Lakers,92,2011
Portland Trail Blazers,96,New Jersey Nets,98,2011
San Antonio Spurs,109,New Orleans Hornets,95,2011
Atlanta Hawks,96,Toronto Raptors,78,2011
Houston Rockets,91,Dallas Mavericks,101,2011
Washington Wizards,94,Miami Heat,105,2011
New Orleans Hornets,89,Oklahoma City Thunder,95,2011
Milwaukee Bucks,88,Utah Jazz,109,2011
Boston Celtics,106,Cleveland Cavaliers,87,2011
San Antonio Spurs,118,Golden State Warriors,98,2011
Los Angeles Lakers,96,Memphis Grizzlies,98,2011
New Jersey Nets,100,New York Knicks,111,2011
Detroit Pistons,79,Orlando Magic,90,2011
Portland Trail Blazers,79,Philadelphia 76ers,88,2011
Indiana Pacers,107,Sacramento Kings,98,2011
Memphis Grizzlies,109,Atlanta Hawks,112,2011
Portland Trail Blazers,95,Boston Celtics,99,2011
Orlando Magic,107,Chicago Bulls,78,2011
Minnesota Timberwolves,86,Dallas Mavericks,100,2011
Milwaukee Bucks,94,Denver Nuggets,105,2011
Los Angeles Lakers,99,Houston Rockets,109,2011
San Antonio Spurs,85,Los Angeles Clippers,90,2011
Detroit Pistons,72,Miami Heat,97,2011
Oklahoma City Thunder,123,New Jersey Nets,120,2011
Charlotte Bobcats,73,New Orleans Hornets,89,2011
Washington Wizards,108,Toronto Raptors,127,2011
Indiana Pacers,88,Utah Jazz,110,2011
Miami Heat,118,Cleveland Cavaliers,90,2011
Phoenix Suns,107,Golden State Warriors,101,2011
Philadelphia 76ers,88,Atlanta Hawks,93,2011
Chicago Bulls,92,Boston Celtics,104,2011
New Jersey Nets,84,Charlotte Bobcats,91,2011
Los Angeles Clippers,104,Denver Nuggets,109,2011
Orlando Magic,104,Detroit Pistons,91,2011
Sacramento Kings,80,Los Angeles Lakers,113,2011
Houston Rockets,127,Memphis Grizzlies,111,2011
New York Knicks,100,New Orleans Hornets,92,2011
Indiana Pacers,97,Phoenix Suns,105,2011
Minnesota Timberwolves,101,San Antonio Spurs,107,2011
Oklahoma City Thunder,99,Toronto Raptors,111,2011
Dallas Mavericks,93,Utah Jazz,81,2011
Portland Trail Blazers,79,Washington Wizards,83,2011
Houston Rockets,116,Chicago Bulls,119,2011
Atlanta Hawks,77,Miami Heat,89,2011
Orlando Magic,85,Milwaukee Bucks,96,2011
Cleveland Cavaliers,95,Minnesota Timberwolves,129,2011
Charlotte Bobcats,91,Philadelphia 76ers,109,2011
Dallas Mavericks,105,Sacramento Kings,103,2011
Memphis Grizzlies,107,Denver Nuggets,108,2011
Cleveland Cavaliers,92,Detroit Pistons,102,2011
Boston Celtics,100,New Jersey Nets,75,2011
Golden State Warriors,109,Oklahoma City Thunder,114,2011
Washington Wizards,108,Phoenix Suns,125,2011
Los Angeles Clippers,91,Portland Trail Blazers,100,2011
New Orleans Hornets,84,San Antonio Spurs,109,2011
New York Knicks,116,Toronto Raptors,99,2011
Oklahoma City Thunder,90,Chicago Bulls,99,2011
Toronto Raptors,100,Indiana Pacers,124,2011
Sacramento Kings,91,Los Angeles Clippers,98,2011
Miami Heat,88,Milwaukee Bucks,78,2011
Minnesota Timberwolves,114,New York Knicks,121,2011
Atlanta Hawks,80,Orlando Magic,74,2011
Memphis Grizzlies,85,Utah Jazz,94,2011
New Jersey Nets,101,Atlanta Hawks,116,2011
Denver Nuggets,98,Charlotte Bobcats,100,2011
Golden State Warriors,100,Dallas Mavericks,105,2011
Detroit Pistons,83,Houston Rockets,97,2011
Washington Wizards,108,Los Angeles Lakers,115,2011
Cleveland Cavaliers,97,Philadelphia 76ers,117,2011
Phoenix Suns,99,Portland Trail Blazers,106,2011
Denver Nuggets,89,Boston Celtics,105,2011
Chicago Bulls,88,Cleveland Cavaliers,83,2011
Los Angeles Lakers,87,Los Angeles Clippers,86,2011
Indiana Pacers,95,Milwaukee Bucks,97,2011
Oklahoma City Thunder,111,Minnesota Timberwolves,103,2011
Detroit Pistons,74,New Orleans Hornets,93,2011
Toronto Raptors,110,New York Knicks,113,2011
Memphis Grizzlies,104,Phoenix Suns,98,2011
Washington Wizards,91,Sacramento Kings,116,2011
Golden State Warriors,94,San Antonio Spurs,111,2011
Miami Heat,111,Utah Jazz,98,2011
New Jersey Nets,89,Dallas Mavericks,102,2011
Boston Celtics,102,Philadelphia 76ers,101,2011
Orlando Magic,83,Portland Trail Blazers,97,2011
Los Angeles Lakers,84,Chicago Bulls,88,2011
Miami Heat,106,Golden State Warriors,84,2011
Charlotte Bobcats,92,Indiana Pacers,100,2011
Houston Rockets,91,Milwaukee Bucks,97,2011
Detroit Pistons,99,Minnesota Timberwolves,109,2011
Oklahoma City Thunder,97,New Orleans Hornets,92,2011
Portland Trail Blazers,101,Phoenix Suns,94,2011
Atlanta Hawks,92,San Antonio Spurs,108,2011
Denver Nuggets,123,Toronto Raptors,116,2011
Orlando Magic,105,Utah Jazz,117,2011
New York Knicks,101,Washington Wizards,95,2011
Indiana Pacers,83,Atlanta Hawks,97,2011
Boston Celtics,93,Charlotte Bobcats,62,2011
