Dallas Mavericks,102,Oklahoma City Thunder,104,2012,1302.45263263,1381.49423936
Brooklyn Nets,78,Orlando Magic,94,2012,1005.40838774,1298.59147571
Denver Nuggets,102,Portland Trail Blazers,111,2012,1332.40410504,1338.93614453
Chicago Bulls,108,Sacramento Kings,98,2012,1423.26189171,1147.58730932
Brooklyn Nets,98,Atlanta Hawks,105,2012,1000.41386362,1174.11034366
Detroit Pistons,85,Boston Celtics,96,2012,1066.73928299,1211.77797865
Orlando Magic,100,Charlotte Hornets,79,2012,1303.58599983,1136.10691918
Toronto Raptors,86,Dallas Mavericks,99,2012,996.683343989,1290.03110892
Cleveland Cavaliers,91,Indiana Pacers,98,2012,1029.08214669,1189.19659574
Chicago Bulls,114,Los Angeles Clippers,101,2012,1428.69610028,1170.23165388
Houston Rockets,93,Memphis Grizzlies,113,2012,1268.80716437,1267.16925356
Washington Wizards,81,Milwaukee Bucks,102,2012,1021.70526842,1167.85302991
Miami Heat,103,Minnesota Timberwolves,101,2012,1395.40934531,931.287963731
Phoenix Suns,93,New Orleans Pelicans,78,2012,1151.84664841,1255.05848583
Philadelphia 76ers,99,Utah Jazz,102,2012,1195.19851641,1106.46919711
Indiana Pacers,88,Detroit Pistons,96,2012,1198.30421456,1057.05582984
Philadelphia 76ers,107,Golden State Warriors,79,2012,1175.19895594,1212.42719101
Atlanta Hawks,84,Houston Rockets,95,2012,1182.71724106,1252.73173635
Denver Nuggets,89,Los Angeles Lakers,92,2012,1316.70488114,1331.06366594
Phoenix Suns,97,Oklahoma City Thunder,107,2012,1172.46467609,1393.91576307
New York Knicks,114,Sacramento Kings,92,2012,1187.71509258,1142.15310075
Utah Jazz,89,San Antonio Spurs,104,2012,1126.46875758,1303.92472657
Memphis Grizzlies,64,Chicago Bulls,104,2012,1283.24468158,1434.59197259
Brooklyn Nets,82,Cleveland Cavaliers,98,2012,991.80696623,1019.97452787
Los Angeles Lakers,90,Denver Nuggets,99,2012,1346.40279568,1301.36575141
Portland Trail Blazers,88,Los Angeles Clippers,93,2012,1354.63536844,1164.33578157
Charlotte Hornets,90,Miami Heat,129,2012,1127.27297874,1397.47860058
Dallas Mavericks,82,Minnesota Timberwolves,99,2012,1295.02163872,929.218708465
Toronto Raptors,96,Orlando Magic,102,2012,991.69281419,1312.41994027
New Orleans Pelicans,80,Sacramento Kings,96,2012,1234.44045814,1128.23936244
Boston Celtics,94,Washington Wizards,86,2012,1221.4614318,1012.06487505
Washington Wizards,92,Boston Celtics,100,2012,1004.6882699,1228.83803695
Oklahoma City Thunder,87,Dallas Mavericks,100,2012,1400.90587375,1266.49495236
Milwaukee Bucks,86,Denver Nuggets,91,2012,1177.49342327,1319.42824472
Orlando Magic,78,Detroit Pistons,89,2012,1316.78196748,1079.22439943
Atlanta Hawks,100,Miami Heat,92,2012,1169.8985797,1403.05631556
